household_id,居住都道府県,居住市区町村,生活保護,児童手当,児童育成手当,児童扶養手当_最小
106,神奈川県,横浜市,126980.0,0.0,0.0,0.0
107,神奈川県,横浜市,129300.0,0.0,0.0,0.0
108,神奈川県,横浜市,126980.0,0.0,0.0,0.0
109,神奈川県,横浜市,126980.0,0.0,0.0,0.0
110,神奈川県,横浜市,131960.0,0.0,0.0,0.0
111,神奈川県,横浜市,126980.0,0.0,0.0,0.0
112,神奈川県,横浜市,129300.0,0.0,0.0,0.0
113,神奈川県,横浜市,126980.0,0.0,0.0,0.0
114,神奈川県,横浜市,129300.0,0.0,0.0,0.0
115,神奈川県,横浜市,129300.0,0.0,0.0,0.0
116,神奈川県,横浜市,129300.0,0.0,0.0,0.0
117,神奈川県,横浜市,131960.0,0.0,0.0,0.0
118,神奈川県,横浜市,126980.0,0.0,0.0,0.0
119,神奈川県,横浜市,126980.0,0.0,0.0,0.0
120,神奈川県,横浜市,131960.0,0.0,0.0,0.0
121,神奈川県,横浜市,129300.0,0.0,0.0,0.0
122,神奈川県,横浜市,126980.0,0.0,0.0,0.0
123,神奈川県,横浜市,129300.0,0.0,0.0,0.0
124,神奈川県,横浜市,129300.0,0.0,0.0,0.0
125,神奈川県,横浜市,129300.0,0.0,0.0,0.0
126,神奈川県,横浜市,126980.0,0.0,0.0,0.0
127,神奈川県,横浜市,131960.0,0.0,0.0,0.0
128,神奈川県,横浜市,131960.0,0.0,0.0,0.0
129,神奈川県,横浜市,126980.0,0.0,0.0,0.0
130,神奈川県,横浜市,131960.0,0.0,0.0,0.0
131,神奈川県,横浜市,131960.0,0.0,0.0,0.0
132,神奈川県,横浜市,129300.0,0.0,0.0,0.0
133,神奈川県,横浜市,131960.0,0.0,0.0,0.0
134,神奈川県,横浜市,131960.0,0.0,0.0,0.0
135,神奈川県,横浜市,131960.0,0.0,0.0,0.0
136,神奈川県,横浜市,126980.0,0.0,0.0,0.0
137,神奈川県,横浜市,129300.0,0.0,0.0,0.0
138,神奈川県,横浜市,129300.0,0.0,0.0,0.0
139,神奈川県,横浜市,131960.0,0.0,0.0,0.0
140,神奈川県,横浜市,129300.0,0.0,0.0,0.0
